Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
SOX2		ENSG00000181449	SRY-box 2	3	181711924-181714436	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB010648, HPA045725, HPA071379	Approved	Supported	Supported	Nucleoplasm		Tissue enhanced	Tissue enriched	8	cerebral cortex: 117.9	esophagus: 14.8	Cell line enhanced		AF22: 273.3;HAP1: 122.7;NTERA-2: 226.0
SPECC1	CYTSB, FLJ36955, HCMOGT-1, NSP	ENSG00000128487	Sperm antigen with calponin homology and coiled-coil domains 1	17	20009344-20319026	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA021421, HPA021430	Enhanced				Lung cancer:1.06e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 67.2	Cell line enhanced		SiHa: 107.9
SPEN	KIAA0929, MINT, RBM15C, SHARP	ENSG00000065526	Spen family transcriptional repressor	1	15847864-15940460	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA015825, HPA050257	Supported		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			parathyroid gland: 39.0	Expressed in all		
SPOP	BTBD32, TEF2	ENSG00000121067	Speckle type BTB/POZ protein	17	49598884-49678234	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level						Liver cancer:6.88e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 121.2	Expressed in all		
SRC	ASV, c-src, SRC1	ENSG00000197122	SRC proto-oncogene, non-receptor tyrosine kinase	20	37344685-37406050	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB004023, HPA030875	Approved		Enhanced	Plasma membrane<br>Cytosol	Liver cancer:4.90e-5 (unfavourable), Urothelial cancer:5.22e-5 (favourable), Renal cancer:1.22e-4 (unfavourable), Prostate cancer:1.63e-4 (unfavourable)	Expressed in all	Mixed			gallbladder: 43.6	Mixed		
SRGAP3	ARHGAP14, KIAA0411, MEGAP, SRGAP2, WRP	ENSG00000196220	SLIT-ROBO Rho GTPase activating protein 3	3	8980591-9363053	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA036959, HPA044074	Enhanced		Approved	Nucleoplasm		Mixed	Tissue enhanced		cerebral cortex: 26.5;fallopian tube: 17.4	cervix, uterine: 7.9	Cell line enhanced		AF22: 8.9;HBEC3-KT: 5.7;RT4: 8.6;T-47d: 9.6
SRSF2	PR264, SC-35, SC35, SFRS2, SFRS2A	ENSG00000161547	Serine and arginine rich splicing factor 2	17	76734115-76737374	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA049905	Supported		Approved	Nucleus<br>Cytosol	Liver cancer:3.53e-8 (unfavourable), Renal cancer:1.05e-7 (unfavourable), Endometrial cancer:8.73e-4 (unfavourable), Urothelial cancer:9.87e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 127.2	Expressed in all		
SRSF3	SFRS3, SRp20	ENSG00000112081	Serine and arginine rich splicing factor 3	6	36594353-36605600	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB012986, HPA056981	Supported		Supported	Nucleoplasm	Liver cancer:6.22e-5 (unfavourable), Ovarian cancer:1.37e-4 (favourable), Melanoma:1.95e-4 (unfavourable), Renal cancer:2.02e-4 (unfavourable), Colorectal cancer:2.56e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 139.5	Expressed in all		
SS18	SSXT, SYT	ENSG00000141380	SS18, nBAF chromatin remodeling complex subunit	18	26016253-26091217	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA055741, HPA059539	Supported		Approved	Nucleoplasm<br>Cytosol	Renal cancer:4.86e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 75.7	Expressed in all		
SS18L1	CREST, KIAA0693	ENSG00000184402	SS18L1, nBAF chromatin remodeling complex subunit	20	62143795-62182484	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB011827, HPA059046	Approved		Supported	Nucleoplasm<br>Cytosol	Head and neck cancer:8.00e-5 (favourable), Lung cancer:3.74e-4 (favourable)	Expressed in all	Expressed in all			skin: 23.7	Expressed in all		
SSX1	CT5.1	ENSG00000126752	SSX family member 1	X	48255317-48267444	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA045683	Supported		Approved	Nucleus<br>Nucleoli		Tissue enhanced	Tissue enriched	26	testis: 12.7	epididymis: 0.4	Group enriched	9	Daudi: 47.0;Karpas-707: 66.3;U-2197: 20.0
SSX2	CT5.2a, HD21, HOM-MEL-40, MGC119055, MGC15364, MGC3884, SSX	ENSG00000241476	SSX family member 2	X	52696896-52707189	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA045683, CAB046020	Enhanced		Approved	Nucleus<br>Nucleoli		Not detected	Tissue enriched	113	testis: 46.1	thyroid gland: 0.4	Not detected		
SSX4	CT5.4	ENSG00000268009	SSX family member 4	X	48383516-48393347	Cancer-related genes, Predicted intracellular proteins	Evidence at transcript level	HPA045683	Approved		Approved	Nucleus<br>Nucleoli		Not detected	Tissue enriched	15	testis: 3.8	fallopian tube: 0.2	Group enriched	8	BEWO: 2.1;Karpas-707: 3.9;U-266/70: 2.4;U-266/84: 4.3
STAG2	SA-2, SA2, SCC3B	ENSG00000101972	Stromal antigen 2	X	123960212-124422664	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA002857	Supported					Expressed in all	Expressed in all			parathyroid gland: 112.2	Mixed		
STAT3	APRF	ENSG00000168610	Signal transducer and activator of transcription 3	17	42313324-42388568	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001671, CAB003859, HPA058603, CAB068241, CAB068242	Supported		Supported	Nucleoplasm<br>Cytosol		Expressed in all	Expressed in all			gallbladder: 127.5	Mixed		
STAT5B		ENSG00000173757	Signal transducer and activator of transcription 5B	17	42199168-42276707	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004298, HPA042128, HPA049883, HPA051156	Approved				Renal cancer:2.39e-5 (favourable), Pancreatic cancer:1.63e-4 (favourable), Endometrial cancer:9.37e-4 (favourable)	Expressed in all	Expressed in all			endometrium: 71.3	Cell line enhanced		HDLM-2: 112.6
STAT6	D12S1644, IL-4-STAT	ENSG00000166888	Signal transducer and activator of transcription 6	12	57095408-57132139	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001861	Approved		Enhanced	Nucleoplasm<br>Cytosol	Urothelial cancer:1.14e-4 (favourable), Endometrial cancer:1.69e-4 (favourable), Thyroid cancer:7.76e-4 (favourable)	Expressed in all	Expressed in all			skin: 163.9	Mixed		
STIL	MCPH7, SIL	ENSG00000123473	SCL/TAL1 interrupting locus	1	47250139-47314147	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA046543			Approved	Plasma membrane<br>Cytosol	Pancreatic cancer:1.33e-4 (unfavourable)	Mixed	Mixed			testis: 12.9	Mixed		
STK11	LKB1, PJS	ENSG00000118046	Serine/threonine kinase 11	19	1177558-1228435	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB016231, HPA017254, CAB022105, HPA067481	Approved		Supported	Nucleoplasm<br>Cytosol	Endometrial cancer:3.69e-5 (favourable), Head and neck cancer:1.96e-4 (favourable)	Expressed in all	Expressed in all			testis: 77.1	Mixed		
STRN	PPP2R6A, STRN1	ENSG00000115808	Striatin	2	36843640-36966472	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA017286	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:2.27e-4 (favourable)	Expressed in all	Expressed in all			esophagus: 23.8	Expressed in all		
SUFU	PRO1280, SUFUH, SUFUXL	ENSG00000107882	SUFU negative regulator of hedgehog signaling	10	102503987-102633535	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA008700	Enhanced		Supported	Nucleus		Expressed in all	Mixed			parathyroid gland: 16.1	Expressed in all		
SUZ12	CHET9, JJAZ1, KIAA0160	ENSG00000178691	SUZ12 polycomb repressive complex 2 subunit	17	31937018-32001045	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA057436	Approved		Approved	Nucleus<br>Nucleoli<br>Nuclear bodies		Expressed in all	Expressed in all			testis: 50.7	Expressed in all		
SYK		ENSG00000165025	Spleen associated tyrosine kinase	9	90801787-90898549	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA001384, CAB007773	Enhanced		Approved	Vesicles<br>Plasma membrane<br>Cytosol		Expressed in all	Mixed			parathyroid gland: 96.0	Cell line enhanced		Daudi: 89.3;HEL: 64.8;HL-60: 80.0;REH: 76.3
TAF15	hTAFII68, Npl3, RBP56, TAF2N	ENSG00000270647	TATA-box binding protein associated factor 15	17	35713791-35864615	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA052059, HPA063647	Enhanced		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			lymph node: 61.1	Expressed in all		
TAL1	bHLHa17, SCL, TCL5	ENSG00000162367	TAL bHLH transcription factor 1, erythroid differentiation factor	1	47216290-47232220	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB017805, HPA047866, HPA073983	Approved		Supported	Nucleus		Mixed	Tissue enhanced		bone marrow: 17.7	placenta: 10.0	Cell line enhanced		HEL: 137.6;HMC-1: 62.0;K-562: 43.6;TIME: 28.0
TAL2	bHLHa19	ENSG00000186051	TAL bHLH transcription factor 2	9	105662457-105663112	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA030886	Uncertain		Approved	Cytosol	Renal cancer:2.69e-4 (favourable)	Tissue enhanced	Group enriched	5	kidney: 3.5;skeletal muscle: 4.8	epididymis: 0.8	Cell line enhanced		HAP1: 3.1;K-562: 7.5
TBL1XR1	C21, DC42, FLJ12894, IRA1, TBLR1	ENSG00000177565	Transducin beta like 1 X-linked receptor 1	3	177019340-177228000	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA019182	Supported		Approved	Nucleoplasm	Liver cancer:1.08e-7 (unfavourable), Renal cancer:4.25e-5 (unfavourable), Glioma:7.23e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 59.4	Expressed in all		
TBX3	TBX3-ISO, UMS, XHL	ENSG00000135111	T-box 3	12	114670254-114684164	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005799			Approved	Nucleoplasm<br>Cytosol	Urothelial cancer:3.28e-4 (favourable)	Expressed in all	Tissue enhanced		adrenal gland: 200.0	prostate: 119.8	Cell line enhanced		BJ: 87.5;BJ hTERT+: 80.2;RT4: 103.3
TCEA1	GTF2S, SII, TCEA, TF2S, TFIIS	ENSG00000187735	Transcription elongation factor A1	8	53966552-54022529	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA043786	Approved		Supported	Nucleus<br>Nucleoli	Renal cancer:3.75e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 199.9	Expressed in all		
TCF12	bHLHb20, HEB, HsT17266, HTF4	ENSG00000140262	Transcription factor 12	15	56918623-57299281	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	CAB004432, HPA065827	Approved		Supported	Nucleoplasm<br>Nuclear speckles	Renal cancer:5.24e-5 (unfavourable), Melanoma:8.89e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 116.2	Expressed in all		
TCF3	bHLHb21, E2A, E47, ITF1, MGC129647, MGC129648, VDIR	ENSG00000071564	Transcription factor 3	19	1609290-1652605	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB018351, HPA049808, HPA062476	Approved		Enhanced	Nucleoplasm	Renal cancer:1.53e-4 (unfavourable), Liver cancer:2.46e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 103.3	Expressed in all		
TCF7L2	TCF-4, TCF4	ENSG00000148737	Transcription factor 7 like 2	10	112950250-113167678	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB013535, HPA038800	Supported	Approved	Supported	Nucleoplasm<br>Nuclear bodies		Expressed in all	Expressed in all			endometrium: 30.9	Mixed		
TCL1A	TCL1	ENSG00000100721	T-cell leukemia/lymphoma 1A	14	95709967-95714196	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB004045, HPA016604	Enhanced					Tissue enriched	Tissue enhanced		lymph node: 324.7;tonsil: 196.7	spleen: 77.8	Group enriched	147	Daudi: 334.2;REH: 557.7;U-698: 425.7
TERT	EST2, hEST2, TCS1, TP2, TRT	ENSG00000164362	Telomerase reverse transcriptase	5	1253147-1295069	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA054641, HPA065897	Supported		Enhanced	Nucleoplasm<br>Nuclear speckles<br>Cytosol		Mixed	Not detected			lymph node,testis: 0.5	Cell line enhanced		ASC TERT1: 349.5;fHDF/TERT166: 388.9;HBEC3-KT: 725.5;hTEC/SVTERT24-B: 626.8;TIME: 672.9
TET1	bA119F7.1, CXXC6, KIAA1676, LCX	ENSG00000138336	Tet methylcytosine dioxygenase 1	10	68560656-68694482	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA019032, HPA057273			Supported	Nucleus<br>Nuclear membrane		Tissue enriched	Mixed			parathyroid gland: 2.4	Cell line enhanced		BEWO: 17.6;HAP1: 21.7;K-562: 11.0;NTERA-2: 12.2
TET2	FLJ20032, KIAA1546	ENSG00000168769	Tet methylcytosine dioxygenase 2	4	105145875-105279816	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA043135	Supported		Approved	Nucleoplasm		Mixed	Mixed			bone marrow: 15.7	Mixed		
TFE3	bHLHe33, TFEA	ENSG00000068323	Transcription factor binding to IGHM enhancer 3	X	49028726-49043486	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023881	Approved		Supported	Nucleoplasm<br>Cytosol	Renal cancer:2.19e-8 (unfavourable), Liver cancer:6.03e-5 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 24.4	Expressed in all		
TFEB	bHLHe35, TCFEB	ENSG00000112561	Transcription factor EB	6	41683978-41736259	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA049532			Supported	Nucleoplasm	Renal cancer:1.06e-5 (favourable), Pancreatic cancer:4.77e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 54.3	Cell line enhanced		BEWO: 65.1;U-698: 44.9
TFG	FLJ36137, SPG57, TF6	ENSG00000114354	TRK-fused gene	3	100709331-100748966	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA019473, HPA052206	Approved		Approved	Vesicles<br>Cytosol	Pancreatic cancer:1.50e-4 (unfavourable), Liver cancer:5.48e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 164.5	Expressed in all		
TFPT	amida, FB1, INO80F	ENSG00000105619	TCF3 fusion partner	19	54107013-54115675	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA034958, HPA058534	Approved		Supported	Nucleoplasm<br>Nuclear membrane	Pancreatic cancer:3.13e-4 (favourable), Colorectal cancer:5.13e-4 (unfavourable), Liver cancer:5.25e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 10.6	Mixed		
TFRC	CD71, p90, TFR1	ENSG00000072274	Transferrin receptor	3	196027183-196082189	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB000153, HPA028598	Enhanced		Supported	Endosomes<br>Lysosomes	Liver cancer:1.15e-4 (unfavourable), Thyroid cancer:2.96e-4 (unfavourable), Cervical cancer:3.67e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 157.4	Expressed in all		
TGFBR2	MFS2	ENSG00000163513	Transforming growth factor beta receptor 2	3	30606502-30694142	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	CAB073537			Supported	Plasma membrane		Expressed in all	Expressed in all			adipose tissue: 292.3	Cell line enhanced		ASC TERT1: 366.2;LHCN-M2: 371.8;TIME: 336.9
THRAP3	TRAP150	ENSG00000054118	Thyroid hormone receptor associated protein 3	1	36224416-36305357	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA012041, CAB017472, HPA063765	Supported		Enhanced	Nuclear speckles	Stomach cancer:5.36e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 99.0	Expressed in all		
TLX1	HOX11, TCL3	ENSG00000107807	T-cell leukemia homeobox 1	10	101130505-101137789	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level						Colorectal cancer:7.32e-4 (unfavourable)	Mixed	Tissue enriched	5	spleen: 31.3	salivary gland: 6.0	Cell line enhanced		HAP1: 4.1;K-562: 10.7;SH-SY5Y: 2.9
TLX3	HOX11L2, RNX	ENSG00000164438	T-cell leukemia homeobox 3	5	171309284-171312134	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA030504, HPA060957, HPA069359	Approved		Supported	Nucleoplasm		Tissue enhanced	Not detected			all non-specific tissues: 0.0	Cell line enriched	6	SH-SY5Y: 28.2
TMPRSS2	PRSS10	ENSG00000184012	Transmembrane protease, serine 2	21	41464551-41531116	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA034493, HPA035787	Enhanced		Supported	Nucleoplasm<br>Cell Junctions	Renal cancer:7.86e-6 (favourable), Endometrial cancer:2.56e-4 (favourable)	Tissue enriched	Tissue enhanced		prostate: 489.3	stomach: 142.6	Cell line enhanced		CACO-2: 21.8;RT4: 50.4;SK-BR-3: 9.5
